"id","age","sex","education","nfc01","nfc02","nfc03","nfc04","nfc05","nfc06","nfc07","nfc08","nfc09","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","action_orientation","effortful_control","self_control"
150,20,"Male","Abitur",6,4,5,2,6,6,3,4,5,6,2,4,5,4,2,1,5,-2,-3
154,20,"Male","Abitur",5,2,4,5,2,4,5,6,2,4,4,2,5,6,3,2,9,-17,-14
155,28,"Female","Abitur",4,4,2,2,6,6,5,5,1,5,2,5,1,3,6,6,11,18,2
156,22,"Male","Abitur",6,6,6,2,6,3,1,2,1,2,2,1,6,4,2,2,9,29,3
157,22,"Female","Abitur",6,2,2,2,4,3,5,3,2,2,2,2,3,2,1,1,17,8,13
158,26,"Male","Abitur",3,5,5,6,5,2,3,3,6,5,5,3,5,5,1,1,0,-44,-15
159,22,"Male","Abitur",5,6,5,1,6,4,3,2,2,4,2,4,5,4,3,2,11,18,10
160,25,"Male","Abitur",6,6,5,1,7,2,2,2,1,1,1,1,5,3,1,1,10,5,2
161,29,"Male","Abitur",5,6,3,3,6,5,3,4,3,5,3,5,2,2,2,2,3,-10,-8
164,24,"Male","Abitur",6,6,5,2,6,7,2,5,1,3,2,5,3,2,2,1,12,17,1
165,31,"Female","Abitur",6,3,4,3,6,3,3,2,1,1,1,1,4,4,1,1,7,12,5
167,28,"Male","Abitur",2,7,6,2,6,3,3,3,4,5,6,6,3,3,1,2,1,-14,-14
170,23,"Female","Abitur",7,6,6,1,7,2,2,3,3,5,5,1,5,6,1,1,5,8,-3
172,21,"Male","Abitur",5,3,6,3,7,3,6,2,2,2,2,3,4,4,2,2,8,2,5
174,32,"Female","Abitur",6,7,5,1,6,5,6,2,1,2,3,2,6,6,2,2,14,16,4
175,23,"Female","Abitur",6,5,5,1,7,5,1,1,1,3,1,1,5,5,2,3,1,-22,-15
176,20,"Female","Abitur",5,2,4,1,7,4,3,6,2,4,2,1,5,3,3,3,11,1,7
177,21,"Female","Abitur",6,6,5,2,6,3,1,5,1,2,2,2,5,4,4,4,15,3,7
178,NA,"Male","Abitur",5,3,3,2,7,3,2,3,1,3,2,2,5,5,1,2,7,9,-6
180,28,"Female","Abitur",7,7,6,1,7,3,1,1,1,1,1,1,7,7,1,1,23,48,19
182,22,"Female","Abitur",5,5,2,2,4,6,3,5,2,3,2,2,5,2,3,3,11,17,-3
183,24,"Female","Other",7,7,5,3,7,3,2,2,1,1,1,2,3,4,2,1,13,11,-1
184,24,"Female","Abitur",6,5,6,1,7,3,1,2,2,2,1,2,3,4,1,1,15,10,-4
185,27,"Male","Abitur",6,4,5,6,5,3,5,3,3,3,4,5,3,4,2,2,12,-1,-3
186,30,"Female","Abitur",7,6,6,2,6,2,6,1,1,1,1,1,5,3,2,2,20,28,1
187,23,"Male","Abitur",5,6,1,1,5,1,2,3,1,5,2,2,4,5,1,1,3,-27,-19
188,33,"Male","Other",6,5,6,3,5,6,3,2,4,3,2,3,4,2,2,2,21,17,-2
